Total Sutradara: 1385
Total Film: 3333
Rata-rata film per sutradara: 2.41

Daftar Lengkap Sutradara:
--------------------------------------------------
                            Sutradara  Jumlah Film
                   Yusuf Reza Permadi            1
                       Adnan Andriono            1
                     Rezky Dzikrullah            1
                     Inarah Syarafina            1
                             Supangat            1
                     Dwidjo U. Maksum            1
                       Andi Risdianto            1
                        Deny Suhendra            1
                 Radja Jeremy Pribadi            1
                  Harryaldi Kurniawan            1
                        Cepy Hermawan            1
                            Chi-Yu Wu            1
                      Muhammad Mikdad            1
                Ihza Nur Ashshiddiqie            1
                     Syahreza Fahlevi            1
                         Lurdes Pires            1
                       Joshua Morrice            1
            Dineshkumar Subashchandra            1
                        Rigen Rakelna            1
                            Jeropoint            1
                        Erwin Budiono            1
                 Mohammad Irfan Ramly            1
                        Rangga Nattra            1
                       Andrea Hachuel            1
                      Kristo Immanuel            1
               Rio Akbar Jalu Pandita            1
                Rayhan Syafiq Renaldi            1
                        Rahabi Mandra            1
                        Lee Chang-hee            1
                       Ibonk Hermawan            1
                       Ernest Lesmana            1
                         Ook Budiyono            1
                       Ryan Adriandhy            1
                Yulinda Dwi Andriyani            1
                         Gerry Fairus            1
                      Anita Reza Zein            1
             Muhammad Andre Kurniawan            1
                        Teguh Anarkhi            1
             Nicoline Patricia Malina            1
                           Wi Ding Ho            1
                         Eden Junjung            1
                         Daryl Wilson            1
                       Audun Amundsen            1
                           Ahmad Faiz            1
                        Ivan Bandhito            1
                      Melvin Giovanie            1
                         Saron Sakina            1
            Muhammad Fatih Ronibazali            1
                    Rush Ganesh Singh            1
                      Anggun Pradesha            1
                                A.R.M            1
                      Renaldo Samsara            1
                       Gilang Pratama            1
                      Gleinda Stefany            1
                         Den Mas Dera            1
                       Fanny Chotimah            1
                           Ali Musafa            1
                         Matthew Hart            1
                      Bangun Setiawan            1
                  Muhammad Heri Fadli            1
                          Daniel Tito            1
         Muhammad Andriandino Nugraha            1
                     Dara Roshertanty            1
               L.C Tulus Wijayanto M.            1
                 M. Faisal Hibatullah            1
                     Rizki Fahrizalmi            1
                     Kenneth Lisungan            1
                  Fuad Hilmi Hirnanda            1
                           Dede Yusuf            1
                        Bastian Rizki            1
                 Achmad Rezi Fahlevie            1
                      Haris Yuliyanto            1
               Khotamar Kusuma Dinata            1
                       Dana Rappoport            1
                      Ardhito Pramono            1
                       Sukma Romadhon            1
                            Hariyanto            1
                        Sendi Hidayat            1
